Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Annika,Ström,Villatorget 8,Uddevalla,72338,Sverige,SE,19500528-3907,+46,057-810 67 91,1950-05-28,True
Bo,Björklund,Skogsgatan 8,Alingsås,33653,Sverige,SE,19450106-0570,+46,+46 (0)34 45 88 72,1945-01-06,True
Karin,Nyström,Parktorget 930,Umeå,54673,Sverige,SE,19741116-1706,+46,08-932 15 77,1974-11-16,True
Mathias,Kristensen,Madsenstien 4,Berge,0684,Norge,NO,19830316-4839,+47,92963400,1983-03-16,True
Sigvard,Johansson,Parkstigen 56,Kalmar,48441,Sverige,SE,19740107-8794,+46,+46 (0)8 256 929 06,1974-01-07,True
Helén,Danielsson,Ängsvägen 52,Alingsås,93961,Svprige,SE,19700830-2799,+46,08-883 06 50,1970-08-30,True
Sofie,Jørgensen,Holmbakken 75C,Strøm,8775,Norge,NO,19810722-7179,+47,936 22 242,1981-07-22,True
Anne,Nygård,Hagenfaret 7,Theasand,3350,Norge,NO,19580711-4758,+47,28824519,1958-07-11,True
Adrian,Jørgensen,Martinsenkollen 6B,Jonstrøm,5075,Norge,NO,19640126-5351,+47,27926959,1964-01-26,True
Anita,Berntsen,Kristiansensvingen 47,Sveinhelle,8319,Norge,NO,19940107-4101,+47,+4781631751,1994-01-07,True
Emma,Larsen,Myklebustkroken 8,Antonsen,4901,Norge,NO,19750812-1529,+47,40 81 55 62,1975-08-12,True
Brita,Nyman,Stationsstigen 3,Södertälje,82214,Sverige,SE,19621127-2449,+46,08-557 34 03,1962-11-27,True
Anna,Bengtsson,Furuvägen 859,Kalmar,77981,Sverige,SE,19790729-5296,+46,0423-96 32 38,1979-07-29,True
Katherine,Barrett,Tate Circle 398,Lake Julietown,64100,Danmark,DK,19690208-3749,+45,(559)610-5340,1969-02-08,True
Inge,Lindberg,Furugatan 178,Borlänge,10155,Sverige,SE,19600122-5912,+46,08-964 40 19,1960-01-22,True
Rolf,Sivertsen,Bakkesvingen 33,Steinø,9224,Norge,NO,19681024-6250,+47,87 13 13 71,1968-10-24,True
Valter,Gustafsson,Skogsvägen 4,Norrköping,47810,Sverige,SE,19410131-1707,+46,+46 (0)8 987 165 63,1941-01-31,True
Karl,Persson,Industrivägen 900,Östersund,52400,Sverige,SE,19621014-0357,+46,013-29 38 61,1962-10-14,True
Niclas,Blomqvist,Villatorget 419,Malmö,46920,Sverige,SE,19730928-0984,+46,08-94 33 64,1973-09-28,True
Bente,Pettersen,Knutsengata 25B,Strøm,1459,Norge,NO,19511214-2964,+47,+47 55 89 76 64,1951-12-14,True
Ian,Brown,Sims Plains 32117,Thomasville,90514,Danmark,DK,19840130-0893,+46,+1-735-835-6548,1984-01-30,True
Pamela,Wheeler,Stephen Points 1997,Marcland,01840,Danmark,DK,19871118-8428,+45,001-255-809-9885x161,1987-11-18,True
Per,Boström,Kyrktorget 71,Kalmar,96194,Sverige,SE,19420217-4636,+46,0555-53 08 49,1942-02-17,True
Christopher,Wagner,Julia Fall 4934,Michellechester,34185,Danmark,DK,19900527-1810,+45,001-786-414-4169,1990-05-27,True
Anita,Bakken,Bøetjernet 1,Andreassen,5515,Norge,NO,19410422-1481,+47,97190335,1941-04-22,True
Linnea,Aronsson,Parkvägen 69,Uddevalla,40024,Sverige,SE,19670916-2078,+46,027-17 59 44,1967-09-16,True
Magne,Myhre,Larsenspranget 3,Kristensen,0421,Norge,NO,19730605-1691,+47,949 14 220,1973-06-05,True
Ella,Karlsson,Bäckgränd 592,Lund,87460,Sverige,SE,19940907-6449,+46,+46 (0)543 744 24,1994-09-07,True
Grete,Strøm,Solbergkollen 8,Mariushelle,0465,Norge,NO,19410507-9520,+47,485 45 697,1941-05-07,True
Matias,Ojala,Gustav Pauligin kuja 93,Sonkajärvi,26697,Finland,FI,19570604-820C,358,(+358) 395398344,1957-06-04,True
Torill,Christensen,Christensenstien 5E,Christiannes,1590,Norge,NO,19830623-6220,+47,946 02 798,1983-06-23,True
Christian,Rønning,Edvardsenlyngen 3,Frankby,7413,Norge,NO,19750111-0054,+47,450 84 390,1975-01-11,True
Jonas,Sæther,Jenssenflata 838,Kåresjøen,2331,Norge,NO,19721105-0257,+47,421 77 160,1972-11-05,True
Jeffery,Peterson,Andrew Groves 320,Stephaniemouth,52198,Danmark,DK,19490605-0960,+45,636-543-1826x302,1949-06-05,True
Johan,Svensson,Bäckgatan 93,Piteå,75750,Sverige,SE,19880401-5550,+46,0145-800 02,1988-04-01,True
Erik,Henriksson,Kyrkovägen 4,Motala,75970,Sverige,SE,19740617-1146,+46,+46 (0)8 612 845 30,1974-06-17,True
Heidi,Hall,Martin Ville 1624,Littlestad,90936,Danmark,DK,19630723-3633,+45,001-329-486-9719,1963-07-23,True
